"name","基本武器","部位","短命","ASSASSIN HONED","BALANCED","破滅","BATTLE LUST","BERSERK","吸血","BONE BREAKER","補強不可","詠唱集中","CHAOS DAMAGE","CRAFT BONUS","CRAFT EXCEPTIONAL BONUS","CURSED","CURSE REMOVAL","物理","炎","冷気","毒","エネルギー","HP変換","HP変換(物理)","HP変換(炎)","HP変換(冷気)","HP変換(毒)","HP変換(エネルギー)","武器ダメージ","ダメージ修正","回避","DEX","DURABILITY BONUS","POT強化","CR","FC","FOCUS","炎エリア","冷気エリア","毒エリア","エネルギーエリア","命中","Curse","Dispel","STMダウン","Fireball","Harm","HPリーチ","Lightning","命中低下","回避低下","Magic Arrow","Mana Drain","MPリーチ","HP","HP回復","STMリーチ","INT","LAST PARRY CHANCE","矢弾コスト","MPコスト","秘薬コスト","装備条件","幸運","瞑想可","魔道武器","MP","MANA PHASE","MP回復","MASSIVE","NIGHT SIGHT","PRIZED","RANDOM PROTECTION","RANDOM KILLER","RANDOM SUMMONER","麻痺カウンター","物理ダメージ反射","REPLENISH CHARGES","物理抵抗","炎抵抗","冷気抵抗","毒抵抗","エネルギー抵抗","RESONANCE","SEARING","自己修復","SOUL CHARGE","SPARKS","詠唱可","呪文ダメージ","詠唱集中","破片残留","STM","STM回復","STR","SWARM","速度増","TOXIC WEAPON","UNWIELDY","ベスト","VELOCITY","WARD REMOVAL","重量軽減","WILDFIRE REMOVAL","耐久性","装備STR","基礎ダメージ","基礎速度","基礎重量","片手","両手","基礎スキル","射程","ガゴ専","CRAFT","SPM 70","SPM 90","AXE","除外","略","date","url","urlImage","備考",,,,,,,,,,,,,
"Arcane Shield",,"手持ち右",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15",,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"*",,,,,,,,,,,,"1",,,,,,"*",,,,,,,,,,,,,,,,"255/255","20",,,,,,,,,,,,,,,"2026-04-24","https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-doom-gauntlet/","http://www.uo.com/wp-content/uploads/2015/09/arcane_shield.gif","[ARTIFACT RARITY 11]",,,,,,,,,,,,,
"A Random ‘Prized’ Artifact Item",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026-04-24","https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-doom-gauntlet/",,"[EXCEPTION]",,,,,,,,,,,,,
"Armor of Fortune",,"上半身L2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"40",,"200","*",,,,,,,,,,,,,,"2","4","3","3","4",,,,,,,,,,,,,,,,,,,,,,"255/255","35",,,,,,,,,,,,,,,"2026-04-24","https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-doom-gauntlet/","http://www.uo.com/wp-content/uploads/2015/09/armor_of_fortune.gif","[ARTIFACT RARITY 11]",,,,,,,,,,,,,
"Axe of the Heavens","Double Axe","手持ち左か両手",,,,,,,,,,,,,,,,"100",,,,,,,,,,,"50",,"15",,,,,,,,,,,"15",,,,,,,"50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"255/255","45","15-18","3.25",,,"*","SWORDSMANSHIP",,,,"doublestrike","whirlwindattack","*",,,"2026-04-24","https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-doom-gauntlet/","http://www.uo.com/wp-content/uploads/2015/09/axe_of_the_heavens.gif","[ARTIFACT RARITY 11]",,,,,,,,,,,,,
"Blade of Insanity",,"手持ち左か両手",,,,,,,,,,,,,,,,"100",,,,,,,,,,,"50",,,,,,,,,,,,,,,,,,,,,,,,,,,,"100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,"30",,,,,,,,"255/255","25","10-14","2.5",,"*",,"SWORDSMANSHIP",,,,,,,,,"2026-04-24","https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-doom-gauntlet/","http://www.uo.com/wp-content/uploads/2015/09/blade_of_insanity.gif","[ARTIFACT RARITY 11]",,,,,,,,,,,,,
"Bone Crusher",,"手持ち左か両手",,,,,,,,,,,,,,,,"100",,,,,,,,,,,"75",,,,,,,,,,,,,,,,,,,,,,"50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10",,,,,,,,,,"255/255","80","15-19","3.75",,"*",,"MACE FIGHTING",,,,,,,,,"2026-04-24","https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-doom-gauntlet/","http://www.uo.com/wp-content/uploads/2015/09/bone_crusher.gif","[ARTIFACT RARITY 11]",,,,,,,,,,,,,
"Bow of Infinite Spawn",,"手持ち左か両手",,,,,,,,,,,,,,,,"100",,,,,,,,,,,"50",,,,,,,,,,,,,,,,,,,,,,,,,"50",,,"50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8","3",,"20","30",,,,,,,,"255/255","45","16–20","4",,,"*","ARCHERY","10",,,,,,,,"2026-04-24","https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-doom-gauntlet/","http://www.uo.com/wp-content/uploads/2015/09/archer_composite_bow.gif","-",,,,,,,,,,,,,
"Bracelet of Health",,"腕輪",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026-04-24","https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-doom-gauntlet/","http://www.uo.com/wp-content/uploads/2015/09/bracelet_of_health.gif","[ARTIFACT RARITY 11]",,,,,,,,,,,,,
"Breath of the Dead",,"手持ち左か両手",,,,,,,,,,,,,,,,"100",,,,,,,,,,,"50",,,,,,,,,,,,,,,,,,"25","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,,,,,,,,,,,,,"255/255","25","12-16","3",,"*",,"SWORDSMANSHIP",,,,,,,,,"2026-04-24","https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-doom-gauntlet/",,"[ARTIFACT RARITY 11]",,,,,,,,,,,,,
"Divine Countenance",,"頭",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8",,,"8",,,,,,,,"2",,,,,,,,"15",,"8","6","9","4","25",,,,,,,,,,,,,,,,,,,,,,"255/255","10",,,,,,,,,,,,,,,"2026-04-24","https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-doom-gauntlet/","http://www.uo.com/wp-content/uploads/2015/09/divine_countenance.gif","[ARTIFACT RARITY 11]",,,,,,,,,,,,,
"Frostbringer",,"手持ち左か両手",,,,,,,,,,,,,,,,,,"100",,,,,,,,,"50",,,,,,,,,,,,,,,"50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10",,,,,,,,,,,"255/255","30","17-21","4.25",,,"*","ARCHERY","10",,,,,,,,"2026-04-24","https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-doom-gauntlet/","http://www.uo.com/wp-content/uploads/2015/09/frostbringer.gif","[ARTIFACT RARITY 11]",,,,,,,,,,,,,
"Gauntlets of Nobility",,"手",,,,,,,,,,,,,,,,,,,,,,,,,,,"20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100",,,,,,,,,,,,,,,"18","3","1","20","3",,,,,,,,,,,,"8",,,,,,,,,,"255/255","40",,,,,,,,,,,,,,,"2026-04-24","https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-doom-gauntlet/","http://www.uo.com/wp-content/uploads/2015/09/gauntlets_of_nobility.gif","[ARTIFACT RARITY 11]",,,,,,,,,,,,,
"Glenda",,"手持ち左か両手",,,,,,,,"*",,,,,,,,"100",,,,,,,,,,,"100",,,,,,,,,,,,,,,,,,,,,,"70",,,"20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16",,,,,,,,,,"255/255","40","10–14","2.5",,"*",,"MACE FIGHTING",,,,,,,,,"2026-04-24","https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-doom-gauntlet/","http://www.uo.com/wp-content/uploads/2015/09/mace_club.gif","-",,,,,,,,,,,,,
"Hat of the Magi",,"頭",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8",,,,,,,,,,,"4",,,,,,,,,,,"5","9","20","20",,,,,,,"10",,,,,,,,,,,,,,,"255/255","10",,,,,,,,,,,,,,,"2026-04-24","https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-doom-gauntlet/","http://www.uo.com/wp-content/uploads/2015/09/hat_of_the_magi.gif","[ARTIFACT RARITY 11]",,,,,,,,,,,,,
"Helm of Insight",,"頭",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8",,,"8",,,,,,"15",,"2",,,,,,,,,,"5","3","2","3","17",,,,,,,,,,,,,,,,,,,,,,"255/255","80",,,,,,,,,,,,,,,"2026-04-24","https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-doom-gauntlet/","http://www.uo.com/wp-content/uploads/2015/09/helm_of_insight.gif","[ARTIFACT RARITY 11]",,,,,,,,,,,,,
"Holy Knight’s Breastplate",,"上半身L2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10",,,,,,,,,,,,,,,,,,,,,,"15",,"35","3","2","3","2",,,,,,,,,,,,,,,,,,,,,,"255/255","95",,,,,,,,,,,,,,,"2026-04-24","https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-doom-gauntlet/","http://www.uo.com/wp-content/uploads/2015/09/holy_knights_breastplate.gif","[ARTIFACT RARITY 11]",,,,,,,,,,,,,
"Hunter’s Headdress",,"頭",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8",,,,,,,,,,"15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"*",,,,,,,,"2","6","23","1","7",,,,,,,,,,,,,,,,,,,,,,"255/255","10",,,,,,,,,,,,,,,"2026-04-24","https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-doom-gauntlet/","http://www.uo.com/wp-content/uploads/2015/09/hunters_headdress.gif","[ARCHERY +20","ARTIFACT RARITY 11]",,,,,,,,,,,,
"Jackal’s Collar",,"首",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15",,,,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,,,,,,,,,,,,,,,,,"5","23","17","3","2",,,,,,,,,,,,,,,,,,,,,,"255/255","45",,,,,,,,,,,,,,,"2026-04-24","https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-doom-gauntlet/","http://www.uo.com/wp-content/uploads/2015/09/jackals_collar.gif","[ARTIFACT RARITY 11]",,,,,,,,,,,,,
"Legacy of the Dread Lord",,"手持ち左か両手",,,,,,,,,,,,,,,,"100",,,,,,,,,,,"50",,,,,,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"*",,,,,,,,"30",,,,,,,,"255/255","45","17-20","3.75",,,,"SWORDSMANSHIP",,,,,,,,,"2026-04-24","https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-doom-gauntlet/","http://www.uo.com/wp-content/uploads/2015/09/legacy_of_the_dread_lord.gif","[ARTIFACT RARITY 10]",,,,,,,,,,,,,
"Leggings of Bane",,"下半身L1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","4","4","36","2",,,,,,,,,,"8",,,,,,,,,,,,"255/255","60",,,,,,,,,,,,,,,"2026-04-24","https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-doom-gauntlet/","http://www.uo.com/wp-content/uploads/2015/09/leggings_of_bane.gif","[ARTIFACT RARITY 11]",,,,,,,,,,,,,
"Midnight Bracers",,"腕",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"*",,,,,,,,,,,,,,"23","3","4","2","4",,,,,,,"10",,,,,,,,,,,,,,,"255/255","55",,,,,,,,,,,,,,,"2026-04-24","https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-doom-gauntlet/","http://www.uo.com/wp-content/uploads/2015/09/midnight_bracers.gif","[NECROMANCY +20","ARTIFACT RARITY 11]",,,,,,,,,,,,
"Ornament of the Magician",,"腕輪",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3","2",,,,,,,,,,,,,,,,,,,,,,,,,"10","20",,,,,,,,,,,,,,,,,,,,,"15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026-04-24","https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-doom-gauntlet/","http://www.uo.com/wp-content/uploads/2015/09/ornament_of_the_magician.gif","[ARTIFACT RARITY 11]",,,,,,,,,,,,,
"Ornate Crown of the Harrower",,"頭",,,,,,,,,,,,,,,,,,,,,,,,,,,"25",,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,,,,,,,,,,,,,,,,,"3","3","4","17","4",,,,,,,,,,,"3",,,,,,,,,,,"255/255","20",,,,,,,,,,,,,,,"2026-04-24","https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-doom-gauntlet/","http://www.uo.com/wp-content/uploads/2015/09/ornate_crown_of_the_harrower.gif","[ARTIFACT RARITY 11]",,,,,,,,,,,,,
"Ring of the Elements",,"指輪",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100",,,,,,,,,,,,,,,,"16","16","16","16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026-04-24","https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-doom-gauntlet/","http://www.uo.com/wp-content/uploads/2015/09/ring_of_the_elements.gif","[ARTIFACT RARITY 11]",,,,,,,,,,,,,
"Ring of the Vile",,"指輪",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8",,,,,,,,,,"15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20",,,,,,,,,,,,"6",,,,,,,,,,,,,,,,,,,,,,,,,,,"2026-04-24","https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-doom-gauntlet/","http://www.uo.com/wp-content/uploads/2015/09/ring_of_the_vile.gif","[ARTIFACT RARITY 11]",,,,,,,,,,,,,
"Scholar’s Halo",,"頭",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,"10",,,,,,"15",,"2",,,,,,,,,,"15","15","15","15","15",,,,,,,"15",,,,,,,,,,,,,,,"255/255","10",,,,,,,,,,,,,,,"2026-04-24","https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-doom-gauntlet/","http://www.uo.com/wp-content/uploads/2015/09/scholar-halo.gif","-",,,,,,,,,,,,,
"Serpent’s Fang",,"手持ち左か両手",,,,,,,,,,,,,,,,"25",,,"75",,,,,,,,"50",,,,,,,,,,,"100",,"15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15",,,,,,,,,,,,,,,,,,,,,,,"255/255","10","10-12","2",,"*",,"FENCING",,,,,,,,,"2026-04-24","https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-doom-gauntlet/","http://www.uo.com/wp-content/uploads/2015/09/serpents_fang.gif","-",,,,,,,,,,,,,
"Shadow Dancer Leggings",,"下半身L1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17","4","3","18","18",,,,,,,,,,,,,,,,,,,,,,"255/255","20",,,,,,,,,,,,,,,"2026-04-24","https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-doom-gauntlet/","http://www.uo.com/wp-content/uploads/2015/09/shadow_dancer_leggings.gif","[STEALING +20","STEALTH +20","ARTIFACT RARITY 11]",,,,,,,,,,,
"Spirit of the Totem",,"頭",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15",,"20","3","8","4","4",,,,,,,,,,,,"20",,,,,,,,,,"255/255","10",,,,,,,,,,,,,,,"2026-04-24","https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-doom-gauntlet/","http://www.uo.com/wp-content/uploads/2015/09/spirit_of_the_totem.gif","[ARTIFACT RARITY 11]",,,,,,,,,,,,,
"Staff of the Magi",,"手持ち左か両手",,,,,,,,,,,,,,,,,,,,"100",,,,,,,"50",,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0",,,,,,,,,,,,,,,,,,,,,,,"*",,,,,,,,,,,,,,,,"255/255","35","13-16","2.75",,,"*","MACE FIGHTING",,,,,,,,,"2026-04-24","https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-doom-gauntlet/","http://www.uo.com/wp-content/uploads/2015/09/staff_of_the_magi.gif","[ARTIFACT RARITY 11]",,,,,,,,,,,,,
"The Beserker’s Maul",,"手持ち左か両手",,,,,,,,,,,,,,,,"100",,,,,,,,,,,"50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75",,,,,,,,"255/255","45","14-18","3.5",,"*",,"MACE FIGHTING",,,,,,,,,"2026-04-24","https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-doom-gauntlet/","http://www.uo.com/wp-content/uploads/2015/09/the_beserkers_maul.gif","[ARTIFACT RARITY 11]",,,,,,,,,,,,,
"The Deceiver",,"手持ち左か両手",,,,,,,,,,,,,,,,"100",,,,,,,,,,,"75",,,,,,,,,,,,"75",,,,,,,,,"20","20",,,,,,"30",,,,"8",,,,,,,,,,,,,,,,,,,,,,,,,,,"20",,,,,,,,,,,,,,,,,"255/255","40","16–19","3.5",,,"*","SWORDSMANSHIP",,,,,,,,,"2026-04-24","https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-doom-gauntlet/","http://www.uo.com/wp-content/uploads/2015/09/swords_two_handed_axe.gif","-",,,,,,,,,,,,,
"The Dragon Slayer",,"手持ち左か両手",,,,,,,,,,,,,,,,,,,,"100",,,,,,,"50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"110",,,,,,,,,,,,,,,,"20",,,,,,,,,,,,,,,,,,,,"*",,,,,"255/255","95","18-22","4.25",,"*",,"FENCING",,,,,,,,,"2026-04-24","https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-doom-gauntlet/","http://www.uo.com/wp-content/uploads/2015/09/the_dragon_slayer.gif","[ARTIFACT RARITY 11","DRAGON SLAYER]",,,,,,,,,,,,
"The Dryad Bow",,"手持ち左か両手",,,,,,,,,,,,,,,,"100",,,,,,,,,,,"35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15",,,,"5",,,,,,,,,,,"50",,,,,,,,"255/255","30","17-21","4.25",,,"*","ARCHERY","10",,,,,,,,"2026-04-24","https://uo.com/wiki/ultima-online-wiki/items/artifact-collections/artifacts-doom-gauntlet/","http://www.uo.com/wp-content/uploads/2015/09/the_dryad_bow.gif","[RANDOM SKILL +5 OR +10","ARTIFACT RARITY 11]",,,,,,,,,,,,
